id,sport,type,date,description,league,stake,odds,returns,result,bookmaker,valueTag,tipster,freeBet,notes
1777108472403,Football,Treble,2026-04-25,BTTS Treble,National League North,0.3,3.4,0,loss,Paddy Power,,,
1777108439259,Football,Treble,2026-04-25,BTTS Treble,National League South,0.3,4.79,1.437,win,Paddy Power,,,
1777108406931,Football,Treble,2026-04-25,Over 2.5 Treble,National League South,0.3,4.22,0,loss,Paddy Power,,,
1777104604071,Horse Racing,Treble,2026-04-25,Horses Treble,Mixed,0.09,16.2,1.458,win,Paddy Power,,,
1777104586168,Horse Racing,Patent,2026-04-25,Horses Treble,Mixed,0.21,16.2,1.33,win,Paddy Power,,,
1777104554924,Horse Racing,Treble,2026-04-25,Horses Treble,Mixed,0.09,3.74,0.34,win,Paddy Power,,,
1777104534388,Horse Racing,Patent,2026-04-25,Horses Treble,Mixed,0.21,3.74,0.47,win,Paddy Power,,,
1777104416904,Aussie Rules,Single,2026-04-25,Geelong -29.5,AFL,0.47,1.9,0,loss,Paddy Power,,,
1777104360037,Football,Single,2026-04-25,Over 2.5,Womens A-League,0.09,2.8,0.252,win,Paddy Power,,,
1777104330181,Football,Single,2026-04-25,Over 1.5,Womens A-League,0.4,1.57,0.628,win,Paddy Power,,,
1777101404736,Football,Single,2026-04-25,Over 2.5,Womens A-League,0.29,2,0.58,win,Paddy Power,,,
1777101334343,Aussie Rules,Single,2026-04-25,Over 143.5 Points,AFL,0.58,1.83,1.0614,win,Paddy Power,,,
1777101292759,Football,Single,2026-04-25,Watkins SoT,Premeir League,1,2,2,win,Paddy Power,,,,Price Boost
1777039774015,Horse Racing,Treble,2026-04-24,Mixed Treble,Mixed,0.09,9.63,0,loss,Paddy Power,,,
1777039755867,Horse Racing,Patent,2026-04-24,Mixed Treble,Mixed,0.21,9.63,0,loss,Paddy Power,,,
1777039697949,Horse Racing,Single,2026-04-24,He Knows Better,Perth,0.12,2,0,loss,Paddy Power,,,
1777037956391,Horse Racing,Single,2026-04-24,Action,ITV Racing,0.1,1.83,0,loss,Paddy Power,,,
1777037943226,Horse Racing,Single,2026-04-24,Field of Gold,ITV Racing,0.1,2.2,0,loss,Paddy Power,,,
1777037917826,Horse Racing,Treble,2026-04-24,ITV Racing Treble,ITV Racing,0.09,22.18,0,loss,Paddy Power,,,
1777037900951,Horse Racing,Patent,2026-04-24,ITV Racing ,ITV Racing,0.21,22.18,0,loss,Paddy Power,,,
1777037220077,Horse Racing,Each-Way Single,2026-04-24,Go to War,ITV Racing,0.48,13,0.42,win,Paddy Power,,,
1777037008087,Horse Racing,Single,2026-04-24,Almeric,Sandown,0.41,2.63,0,loss,Betfair,,,
1777023187996,Greyhounds,Patent,2026-04-24,Hove Treble,Hove,0.35,23.89,0,loss,Betfair,,,
1777023152964,Greyhounds,Treble,2026-04-24,Hove Treble,Hove,0.15,23.89,0,loss,Betfair,,,
1777023116118,Greyhounds,Double,2026-04-24,Dogs Double,Harlow,0.2,20.63,0,loss,Betfair,,,
1777023088069,Greyhounds,Single,2026-04-24,Cofam Princess,Harlow,0.4,3.75,0,loss,Betfair,,,
1777023057224,Greyhounds,Single,2026-04-24,Limestone Gal,Harlow,0.4,5.5,0,loss,Betfair,,,
1777023029261,Greyhounds,Treble,2026-04-24,Hove Treble,Hove,0.15,116.19,0,loss,Betfair,,,
1777022994025,Greyhounds,Patent,2026-04-24,Dogs Treble,Hove,0.35,116.19,0,loss,Betfair,,,
1777022928695,Mixed,Treble,2026-04-24,Aussie Overs,Mixed,0.15,5.32,0,loss,Betfair,,,
1777022908021,Mixed,Patent,2026-04-24,Aussie Overs,Mixed,0.35,5.32,0.3,win,Betfair,,,
1777022868645,Baseball,Patent,2026-04-24,Overs Patent,Japense Baseball,0.35,7.25,0.11,win,Betfair,,,
1777011008068,Aussie Rules,Single,2026-04-24,Over 181.5 Points,AFL,0.24,1.9,0.46,win,Paddy Power,,,
1777010982039,Aussie Rules,Single,2026-04-24,Over 181.5 Points,AFL,0.68,1.9,1.29,win,Paddy Power,,,
